Alabama,Montgomery,Birmingham,Tuscaloosa,1819,1846,2
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tucson,Sierra Vista,1912,1889,1
Arkansas,Little Rock,Camden,Jacksonville,1836,1821,1
California,Sacramento,Los Angeles,San Francisco,1850,1854,6
Colorado,Denver,Trinidad,Colorado Springs,1876,1867,1
Connecticut,Hartford,Bristol,Norwich,1788,1875,3
Delaware,Dover,Newark,Milford,1787,1777,2
Florida,Tallahassee,Panama City,Miami,1845,1824,7
Georgia,Atlanta,Albany,Athens,1788,1868,1
Hawaii,Honolulu,Kaneohe,Wahiawa,1959,1845,1
Idaho,Boise,Bonners Ferry,Priest River,1890,1865,1
Illinois,Springfield,Alton,Chicago,1818,1837,6
Indiana,Indianapolis,Columbus,Michigan City,1816,1825,1
Iowa,Des Moines,Amana Colonies,Iowa City,1846,1857,1
Kansas,Topeka,Kansas City,Wichita,1861,1856,4
Kentucky,Frankfort,Ashland,Louisville,1792,1792,14
Louisiana,Baton Rouge,Lafayette,Bastrop,1812,1880,2
Maine,Augusta,Auburn,Brunswick,1820,1832,8
Maryland,Annapolis,Cambridge,Columbia,1788,1694,7
Massachusetts,Boston,Concord,Plymouth,1788,1630,1
Michigan,Lansing,Detroit,Warren,1837,1847,5
Minnesota,Saint Paul,Rochester,Alexandria,1858,1849,2
Mississippi,Jackson,Bay Saint Louis,Clarksdale,1817,1821,1
Missouri,Jefferson City,Kansas City,Lexington,1821,1826,15
Montana,Helena,Livingston,Bozeman,1889,1875,6
Nebraska,Lincoln,Nebraska City,Plattsmouth,1867,1867,2
Nevada,Carson City,Boulder City,Las Vegas,1864,1861,6
New Hampshire,Concord,Manchester,Salem,1788,1808,3
New Jersey,Trenton,Atlantic City,Jersey City,1787,1784,10
New Mexico,Santa Fe,Las Vegas,Los Alamos,1912,1610,4
New York,Albany,Buffalo ,New York City,1788,1797,6
North Carolina,Raleigh,Charlotte,Greensboro ,1789,1792,2
North Dakota,Bismarck,Grand Forks,Minot,1889,1883,2
Ohio,Columbus,Cleveland,Akron,1803,1816,1
Oklahoma,Oklahoma City,Tulsa,Norman,1907,1910,1
Oregon,Salem,Portland,Eugene ,1859,1855,3
Pennsylvania,Harrisburg,Philadelphia,"	Pittsburgh",1787,1812,9
Rhode Island,Providence,Cranston,Warwick,1790,1900,1
South Carolina,Columbia,Charleston,Mount Pleasant ,1788,1786,2
South Dakota,Pierre,Sioux Falls,Rapid City,1889,1889,8
Tennessee,Nashville,Memphis ,Knoxville,1796,1826,1
Texas,Austin,Houston,Dallas ,1845,1839,4
Utah,Salt Lake City,West Valley City,Provo,1896,1858,1
Vermont,Montpelier,Burlington,Barre,1791,1805,6
Virginia,Richmond,Virginia Beach,Norfolk ,1788,1780,4
Washington,Olympia,Seattle,Spokane ,1889,1853,24
West Virginia,Charleston,Huntington,Morgantown,1863,1885,1
Wisconsin,Madison,Milwaukee,Green Bay,1848,1838,2
Wyoming,Cheyenne,Casper,Laramie,1890,1869,1
